Generators,Mode,Cents,Closest 12 edo scale,Euclidean Distance
1 5 13 19,1,0 89 386 543 841 930,0 100 400 500 800 900,68.898
1 13 15 19,2,0 111 359 409 657 768,0 100 400 400 700 800,68.964
7 15 21 23,3,0 341 583 924 1043 1081,0 300 600 900 1000 1100,68.964
9 11 13 21,3,0 267 290 557 637 1120,0 300 300 600 600 1100,69.333
1 3 5 11,0,0 333 498 648 884 1034,0 300 500 600 900 1000,69.347
11 13 15 23,0,0 76 247 324 536 987,0 100 200 300 500 1000,69.469
11 13 17 21,5,0 290 370 754 834 1124,0 300 400 800 800 1100,69.628
1 11 15 19,3,0 298 537 835 946 1088,0 300 500 800 900 1100,69.699
1 11 21 23,4,0 80 572 652 729 1123,0 100 600 700 700 1100,69.699
7 11 19 23,2,0 452 529 783 870 1123,0 500 500 800 900 1100,69.735
1 5 11 17,4,0 281 649 930 1035 1095,0 300 600 900 1000 1100,70.086
3 7 11 13,3,0 128 267 911 1049 1177,0 100 300 900 1000 1200,70.171
1 5 9 11,4,0 182 649 831 996 1035,0 200 600 800 1000 1000,70.193
7 11 13 17,5,0 319 447 736 783 1072,0 300 400 700 800 1100,70.278
5 9 11 17,3,0 99 281 853 1035 1134,0 100 300 900 1000 1100,70.37
1 3 11 15,5,0 166 552 664 702 814,0 200 600 700 700 800,70.399
5 13 15 17,0,0 247 464 701 918 1166,0 200 500 700 900 1200,70.612
3 5 11 17,5,0 166 603 769 919 1050,0 200 600 800 900 1100,70.619
3 5 9 11,2,0 151 183 333 499 1035,0 200 200 300 500 1000,70.746
7 9 11 13,4,0 128 348 476 765 911,0 100 300 500 800 900,70.781
11 19 21 23,4,0 81 870 950 1027 1123,0 100 900 1000 1000 1100,70.845
1 9 11 15,4,0 333 537 648 884 996,0 300 500 600 900 1000,70.951
5 9 13 15,0,0 65 247 563 701 1017,0 100 200 600 700 1000,71.365
1 11 15 17,4,0 105 217 551 663 768,0 100 200 600 700 800,71.47
9 11 15 17,0,0 216 347 564 663 1101,0 200 300 600 700 1100,71.631
3 11 15 17,3,0 150 536 597 983 1133,0 200 500 600 1000 1100,71.993
3 9 11 15,4,0 151 499 537 885 1035,0 200 500 500 900 1000,72.256
3 5 13 15,0,0 247 315 563 701 1061,0 200 300 600 700 1100,72.973
1 5 13 15,0,0 247 359 701 813 1061,0 200 400 700 800 1100,74.706
5 13 15 19,5,0 89 247 336 745 790,0 100 200 300 700 800,75.835
9 11 17 19,5,0 661 754 853 1008 1107,0 700 800 900 1000 1100,77.195
1 11 17 19,4,0 192 649 841 946 1095,0 200 600 800 900 1100,79.291
1 9 11 17,3,0 105 204 754 852 957,0 100 200 800 900 1000,79.436
1 9 11 19,4,0 93 649 742 946 996,0 100 600 700 900 1000,79.662
3 11 17 19,4,0 151 405 754 1008 1158,0 200 400 800 1000 1200,79.812
1 3 11 19,0,0 244 498 648 795 946,0 200 500 600 800 900,79.906
3 9 11 17,1,0 348 446 498 597 945,0 300 400 500 600 900,80.362
3 9 11 19,3,0 57 151 405 853 1106,0 100 200 400 900 1100,80.747
1 3 11 17,5,0 447 498 945 1050 1095,0 400 500 900 1100 1100,82.237
1 3 9 11,5,0 348 498 846 996 1049,0 300 500 800 1000 1000,82.71
